date,symbol,action
2026-07-06,GRANULES,snapshot_member
2026-07-06,GRAPHITE,snapshot_member
2026-07-06,GRAVITA,snapshot_member
2026-07-06,GROWW,snapshot_member
2026-07-06,GRSE,snapshot_member
2026-07-06,GVT&D,snapshot_member
2026-07-06,HAVELLS,snapshot_member
2026-07-06,HBLENGINE,snapshot_member
2026-07-06,HDBFS,snapshot_member
2026-07-06,HEG,snapshot_member
2026-07-06,HEROMOTOCO,snapshot_member
2026-07-06,HEXT,snapshot_member
2026-07-06,HFCL,snapshot_member
2026-07-06,HINDCOPPER,snapshot_member
2026-07-06,HINDPETRO,snapshot_member
2026-07-06,HOMEFIRST,snapshot_member
2026-07-06,HONASA,snapshot_member
2026-07-06,HONAUT,snapshot_member
2026-07-06,HSCL,snapshot_member
2026-07-06,HUDCO,snapshot_member
2026-07-06,ICICIAMC,snapshot_member
2026-07-06,ICICIGI,snapshot_member
2026-07-06,ICICIPRULI,snapshot_member
2026-07-06,IDBI,snapshot_member
2026-07-06,IDEA,snapshot_member
2026-07-06,IDFCFIRSTB,snapshot_member
2026-07-06,IEX,snapshot_member
2026-07-06,IFCI,snapshot_member
2026-07-06,IGIL,snapshot_member
2026-07-06,IGL,snapshot_member
2026-07-06,IIFL,snapshot_member
2026-07-06,IKS,snapshot_member
2026-07-06,INDGN,snapshot_member
2026-07-06,INDIACEM,snapshot_member
2026-07-06,INDIAMART,snapshot_member
2026-07-06,INDIANB,snapshot_member
2026-07-06,INDUSINDBK,snapshot_member
2026-07-06,INDUSTOWER,snapshot_member
2026-07-06,INOXWIND,snapshot_member
2026-07-06,INTELLECT,snapshot_member
2026-07-06,IOB,snapshot_member
2026-07-06,IPCALAB,snapshot_member
2026-07-06,IRB,snapshot_member
2026-07-06,IRCON,snapshot_member
2026-07-06,IRCTC,snapshot_member
2026-07-06,IREDA,snapshot_member
2026-07-06,ITCHOTELS,snapshot_member
2026-07-06,ITI,snapshot_member
2026-07-06,J&KBANK,snapshot_member
2026-07-06,JAINREC,snapshot_member
2026-07-06,JBCHEPHARM,snapshot_member
2026-07-06,JBMA,snapshot_member
2026-07-06,JINDALSAW,snapshot_member
2026-07-06,JKCEMENT,snapshot_member
2026-07-06,JKTYRE,snapshot_member
2026-07-06,JMFINANCIL,snapshot_member
2026-07-06,JPPOWER,snapshot_member
2026-07-06,JSL,snapshot_member
2026-07-06,JSWCEMENT,snapshot_member
2026-07-06,JSWDULUX,snapshot_member
2026-07-06,JSWENERGY,snapshot_member
2026-07-06,JSWINFRA,snapshot_member
2026-07-06,JUBLFOOD,snapshot_member
2026-07-06,JUBLINGREA,snapshot_member
2026-07-06,JUBLPHARMA,snapshot_member
2026-07-06,JWL,snapshot_member
2026-07-06,JYOTICNC,snapshot_member
2026-07-06,KAJARIACER,snapshot_member
2026-07-06,KALYANKJIL,snapshot_member
2026-07-06,KARURVYSYA,snapshot_member
2026-07-06,KAYNES,snapshot_member
2026-07-06,KEC,snapshot_member
2026-07-06,KEI,snapshot_member
2026-07-06,KFINTECH,snapshot_member
2026-07-06,KIMS,snapshot_member
2026-07-06,KIRLOSENG,snapshot_member
2026-07-06,KPIL,snapshot_member
2026-07-06,KPITTECH,snapshot_member
2026-07-06,KPRMILL,snapshot_member
2026-07-06,LALPATHLAB,snapshot_member
2026-07-06,LATENTVIEW,snapshot_member
2026-07-06,LAURUSLABS,snapshot_member
2026-07-06,LEMONTREE,snapshot_member
2026-07-06,LENSKART,snapshot_member
2026-07-06,LGEINDIA,snapshot_member
2026-07-06,LICHSGFIN,snapshot_member
